.npmrc	1	secret	Private npm registry auth token committed in .npmrc and packages/functions/.npmrc	2026-09-20 23:00:00
packages/functions/src/middleware/creditGuardMiddleware.js	62	untrusted_input	creditCost is taken from the request body and only type-checked, never recomputed server-side	2026-08-31 23:00:00
packages/functions/src/middleware/swaggerAuth.js	27	credential_exposure	Merchant integration key is accepted from the URL query string on an unauthenticated route	2026-09-20 23:00:00
packages/functions/src/middleware/webhook/verifyWebhook.js	12	authn	Shopify webhook HMAC check is commented out. `webhookCreateProduct` and `webhookBulkOperation` accept any POST.	2026-09-18 23:00:05
packages/functions/src/middleware/webhook/verifyWebhook.js	17	authn	Shopify webhook HMAC verification is commented out — every webhook is unauthenticated	2026-08-31 23:00:00
packages/functions/src/middleware/webhook/verifyWebhook.js	23	authn	Webhook HMAC verification is commented out — `verifyWebhook` calls `next()` unconditionally	2026-09-21 23:00:06
packages/functions/src/pubsub/subscribeSyncProducts.js	27	credential_exposure	syncProducts subscriber re-publishes the same raw shop doc once per pagination page	2026-09-19 23:00:00
packages/functions/src/repositories/bulkGenerateProcessRepository.js	14	shop_scoping	createProcess spreads the client body after shopId, letting the caller overwrite the process owner	2026-09-20 23:00:00
packages/functions/src/repositories/templateRepository.js	39	shop_scoping	POST /templates overwrites and reassigns another shop's template via a body-supplied id	2026-09-20 23:00:00
packages/functions/src/repositories/templateRepository.js	40	shop_scoping	POST /templates overwrites and re-parents any shop's template when the body carries an `id`	2026-09-19 23:00:00
packages/functions/src/routes/extension.js	6	authn	Shopify Flow extension endpoints run behind only `cors()` and take the target shop from the request body	2026-09-21 23:00:06
packages/functions/src/services/config/crisp.js	4	secret	Crisp plugin credentials (identifier, key, website_id, session_id) hardcoded	2026-09-15 23:00:05
packages/functions/src/services/config/crisp.js	5	secret	Crisp plugin-tier API credentials hardcoded in tracked source	2026-09-20 23:00:00
packages/functions/src/services/config/crisp.js	6	secret	Crisp plugin API credential pair hardcoded in tracked source	2026-09-11 23:06:11
packages/functions/src/services/errorService.js	13	secret_in_log	App-level Koa error sink logs the whole error object, including axios request headers carrying the merchant's Shopify access token	2026-09-09 23:00:05
packages/functions/src/services/seoService.js	32	secret_in_log	Raw axios error logged, printing the X-SEO-Access-Token request header into Cloud Logging	2026-09-11 23:06:11
packages/functions/src/services/shopifyService.js	697	credential_exposure	Full shop doc (incl. Shopify accessToken) published as Pub/Sub 'syncProducts' payload, re-broadcast per page	2026-09-15 23:00:05
packages/functions/src/services/shopifyService.js	735	credential_exposure	Whole shop document — including its Shopify token material — is serialized into the `syncProducts` Pub/Sub payload	2026-09-21 23:00:06
